Type,Status,Created Date,Delivered,Delivery Date,Received,Receive Date,Withdrawn,Withdraw Date,Expired,Expire Date,Locker Name,Locker Box Door,Locker Size,Pickup Duration,Delivery Duration,Collect Duration,Send Duration,Location Type,Address,Latitude,longitude,Borough,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Receive,Completed,04/17/2024 02:58:00 PM,TRUE,04/17/2024 08:11:00 PM,TRUE,04/17/2024 02:58:00 PM,TRUE,04/18/2024 05:56:00 PM,TRUE,04/20/2024 08:11:00 PM,508-1,2,S,00.21.44.57,00.05.12.57,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 03:05:00 PM,TRUE,04/17/2024 08:12:00 PM,TRUE,04/17/2024 03:05:00 PM,TRUE,04/21/2024 08:20:00 PM,TRUE,04/20/2024 08:12:00 PM,508-1,11,S,04.00.08.14,00.05.07.04,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 03:08:00 PM,TRUE,04/17/2024 08:12:00 PM,TRUE,04/17/2024 03:08:00 PM,TRUE,04/17/2024 09:52:00 PM,TRUE,04/18/2024 08:12:00 PM,508-1,14,S,00.01.40.11,00.05.03.29,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 03:08:00 PM,TRUE,04/17/2024 08:11:00 PM,TRUE,04/17/2024 03:08:00 PM,TRUE,04/18/2024 01:42:00 PM,TRUE,04/20/2024 08:11:00 PM,508-1,10,S,00.17.31.27,00.05.03.00,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/17/2024 03:09:00 PM,TRUE,04/17/2024 08:11:00 PM,TRUE,04/17/2024 03:09:00 PM,TRUE,04/18/2024 05:56:00 PM,TRUE,04/20/2024 08:11:00 PM,508-1,2,S,00.21.44.30,00.05.02.12,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/18/2024 02:35:00 PM,TRUE,04/18/2024 04:17:00 PM,TRUE,04/18/2024 02:35:00 PM,TRUE,04/18/2024 05:43:00 PM,TRUE,04/21/2024 04:17:00 PM,508-1,10,S,00.01.25.59,00.01.41.51,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/18/2024 02:36:00 PM,TRUE,04/18/2024 04:18:00 PM,TRUE,04/18/2024 02:36:00 PM,TRUE,04/19/2024 02:09:00 PM,TRUE,04/21/2024 04:18:00 PM,508-1,25,M,00.21.50.43,00.01.41.59,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/18/2024 02:36:00 PM,TRUE,04/18/2024 04:17:00 PM,TRUE,04/18/2024 02:36:00 PM,TRUE,04/18/2024 05:43:00 PM,TRUE,04/21/2024 04:17:00 PM,508-1,10,S,00.01.25.07,00.01.41.28,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/18/2024 02:55:00 PM,TRUE,04/18/2024 04:18:00 PM,TRUE,04/18/2024 02:55:00 PM,TRUE,04/18/2024 04:23:00 PM,TRUE,04/21/2024 04:18:00 PM,508-1,24,M,00.00.04.57,00.01.23.08,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/18/2024 03:09:00 PM,TRUE,04/18/2024 04:17:00 PM,TRUE,04/18/2024 03:09:00 PM,TRUE,04/19/2024 03:05:00 PM,TRUE,04/21/2024 04:17:00 PM,508-1,4,M,00.22.48.05,00.01.07.35,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 01:06:00 PM,TRUE,04/19/2024 04:47:00 PM,TRUE,04/19/2024 01:06:00 PM,TRUE,04/21/2024 08:20:00 PM,TRUE,04/22/2024 04:47:00 PM,508-1,4,M,02.03.33.09,00.03.41.05,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 02:47:00 PM,TRUE,04/19/2024 04:48:00 PM,TRUE,04/19/2024 02:47:00 PM,TRUE,04/23/2024 01:15:00 PM,TRUE,04/22/2024 04:48:00 PM,508-1,10,S,03.20.27.11,00.02.00.51,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 02:48:00 PM,TRUE,04/19/2024 04:47:00 PM,TRUE,04/19/2024 02:48:00 PM,TRUE,04/23/2024 06:12:00 PM,TRUE,04/21/2024 04:47:00 PM,508-1,2,S,04.01.24.27,00.01.59.03,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 03:09:00 PM,TRUE,04/19/2024 04:48:00 PM,TRUE,04/19/2024 03:09:00 PM,TRUE,04/21/2024 01:07:00 PM,TRUE,04/22/2024 04:48:00 PM,508-1,15,M,01.20.18.35,00.01.38.58,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 03:19:00 PM,TRUE,04/19/2024 04:49:00 PM,TRUE,04/19/2024 03:19:00 PM,TRUE,04/22/2024 08:39:00 PM,TRUE,04/22/2024 04:49:00 PM,508-1,14,S,03.03.50.03,00.01.29.38,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 03:20:00 PM,TRUE,04/19/2024 04:49:00 PM,TRUE,04/19/2024 03:20:00 PM,TRUE,04/22/2024 12:45:00 PM,TRUE,04/22/2024 04:49:00 PM,508-1,13,S,02.19.56.05,00.01.28.54,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/19/2024 03:22:00 PM,TRUE,04/19/2024 04:49:00 PM,TRUE,04/19/2024 03:22:00 PM,TRUE,04/21/2024 08:20:00 PM,TRUE,04/22/2024 04:49:00 PM,508-1,11,S,02.03.31.04,00.01.27.33,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/20/2024 02:56:00 PM,TRUE,04/20/2024 04:33:00 PM,TRUE,04/20/2024 02:56:00 PM,TRUE,04/23/2024 01:15:00 PM,TRUE,04/23/2024 04:33:00 PM,508-1,10,S,02.20.41.33,00.01.37.42,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
